Date,Close/Last,Volume,Open,High,Low
03/25/2022,44380,N/A,43984,44471,44090
03/24/2022,43969,N/A,42738,44400,43883
03/23/2022,42797,N/A,42118,43284,42683
03/22/2022,42145,N/A,42257,42552,41930
03/21/2022,42263,N/A,40855,42490,40893
03/20/2022,40887,N/A,41961,41471,40530
03/19/2022,41988,N/A,41804.4,42301,41804
03/18/2022,41575.3,N/A,40528.3,41998.4,41529.6
03/17/2022,40498.2,N/A,41006.2,40935.6,40272.9
03/16/2022,41003.8,N/A,39160.8,41379.8,40825.1
03/15/2022,39177.4,N/A,38773.8,41701.6,38996.6
03/14/2022,38729.5,N/A,38172.4,39786.1,38658
03/13/2022,38109.1,N/A,39189.3,38294.7,37613.6
03/12/2022,39181.1,N/A,39093.5,39272.3,38733.1
03/11/2022,39188.2,N/A,38515.4,39289.9,38666.5
03/10/2022,38491,N/A,39543.1,39431.9,38236.4
03/09/2022,39648,N/A,41637,42029.1,39466.2
03/08/2022,41623.2,N/A,38558,41793.9,38663.3
03/07/2022,38487.5,N/A,37931.7,38935,37886.6
03/06/2022,37951.3,N/A,39468.9,38543.2,37597.7
03/03/2022,42449.2,N/A,43912.8,44077.2,41840.8
03/02/2022,43300.1,N/A,44252.7,44041.7,43258.7
03/01/2022,44336.6,N/A,43350,44730.7,43857.6
02/28/2022,43331.5,N/A,37818.6,43638.6,42890.9
02/27/2022,37827.8,N/A,38610.6,38336.3,37458.9
02/26/2022,38608.2,N/A,39420,39255,38230.9
02/25/2022,39443.6,N/A,38927.2,40094.5,39166.3
02/24/2022,38756.5,N/A,34912.1,38991,38167
02/23/2022,35078.8,N/A,37760.5,37417.3,34594.1
02/22/2022,37982.8,N/A,36576.5,38329.9,37598.7
02/21/2022,36714.9,N/A,38935.8,37421.1,36399.6
02/20/2022,39234,N/A,39533.9,39320.6,38226.8
02/19/2022,39622.6,N/A,40140,40120.3,39588.5
02/18/2022,40169.6,N/A,40693.8,40284,39940.6
02/17/2022,40652.1,N/A,43635,40928.6,40318
02/16/2022,43692.1,N/A,43900.1,44167.1,43376.3
02/15/2022,43852.7,N/A,43492.8,44552.9,43692.2
02/14/2022,43483.8,N/A,41967.6,43732.5,42460.1
02/13/2022,41909.3,N/A,42207.6,42170.6,41591.3
02/12/2022,42202.7,N/A,42291,42495.3,42080
02/11/2022,42275.7,N/A,43108,42480.7,42179.9
02/10/2022,43052.3,N/A,43802.1,43705.9,42643.7
02/09/2022,43607.8,N/A,43469.5,44398.2,43594.8
02/08/2022,43555.2,N/A,44370.6,44305.3,43202.1
02/07/2022,44287.8,N/A,42839.2,44304.4,43585.5
02/06/2022,42793.1,N/A,41551.6,42922.9,41695.4
02/05/2022,41521.7,N/A,41467.3,41641.2,41321.1
02/04/2022,41450.2,N/A,37301.6,41873.6,41201.1
02/03/2022,37334.7,N/A,36915.5,37420.8,37041.1
