Date,Close/Last,Volume,Open,High,Low
03/25/2022,1959.8,60137,1963.2,1970.4,1948.2
03/24/2022,1967.7,65218,1948.9,1972.5,1942.9
03/23/2022,1942.6,48141,1926.3,1953.9,1920.7
03/22/2022,1926.7,46165,1941,1944.7,1915.5
03/21/2022,1934.8,46403,1927.4,1947.2,1922.2
03/18/2022,1933.9,34050,1947.9,1950.9,1922.7
03/17/2022,1948.2,32640,1933.4,1955.6,1929
03/16/2022,1909.2,188471,1920.1,1930.1,1895.2
03/15/2022,1929.7,208752,1953.7,1956.9,1908.1
03/14/2022,1960.8,146870,1988.7,1994.8,1952
03/11/2022,1985,234258,2000.3,2004,1960.6
03/10/2022,2000.4,279944,1992.8,2015.1,1975
03/09/2022,1988.2,329822,2060.2,2068.5,1981
03/08/2022,2043.3,413624,2001,2078.8,1985.8
03/07/2022,1995.9,345526,1978.5,2007.5,1964.2
03/04/2022,1966.6,228205,1938.5,1974.9,1931.5
03/03/2022,1935.9,170994,1931.7,1944.6,1923.1
03/02/2022,1922.3,221028,1945.3,1951.4,1916
03/01/2022,1943.8,215091,1908.4,1952.6,1903
02/28/2022,1900.7,239416,1921,1935.2,1892.2
02/25/2022,1887.6,220963,1906.5,1925,1884.4
02/24/2022,1926.3,409954,1911.9,1976.5,1878.6
02/23/2022,1910.4,151417,1901.2,1912.9,1891.1
02/22/2022,1907.4,323210,1903.5,1918.3,1889.7
02/18/2022,1899.8,155484,1901.4,1905,1888
02/17/2022,1902,251680,1872,1904,1869.7
02/16/2022,1871.5,136348,1855.5,1874.6,1851.8
02/15/2022,1856.2,208428,1873.8,1881.6,1845.4
02/14/2022,1869.4,220292,1862.2,1876.5,1851.9
02/11/2022,1842.1,232425,1827,1867.4,1821.1
02/10/2022,1837.4,221886,1834,1843.3,1821.8
02/09/2022,1836.6,128735,1827,1837.1,1825.5
02/08/2022,1827.9,138151,1821.5,1829.9,1816
02/07/2022,1821.8,137112,1808,1824.6,1807.5
02/04/2022,1807.8,175521,1805.4,1815.8,1792.1
02/03/2022,1804.1,168783,1807.4,1809.5,1788.5
02/02/2022,1810.3,120057,1800.8,1812,1794.6
02/01/2022,1801.5,125228,1798.9,1809.7,1796.2
01/31/2022,1796.4,134623,1792.8,1800.9,1785.8
01/28/2022,1786.6,211839,1799.6,1800.3,1780.6
01/27/2022,1795,198030,1821.4,1823.8,1792.7
01/26/2022,1832,146441,1850.7,1852.6,1816.4
01/25/2022,1855,71595,1846,1856.7,1836.8
01/24/2022,1844.2,100586,1838.3,1847.2,1831.9
01/21/2022,1834.1,66596,1842.6,1845.8,1830.6
01/20/2022,1844.9,78202,1842.9,1850.8,1838.4
01/19/2022,1845.5,84788,1816.4,1846.1,1811.6
01/18/2022,1812.4,347305,1818.7,1822.9,1804.7
01/14/2022,1816.5,164913,1822.1,1829.3,1814.2
01/13/2022,1821.4,197305,1825.7,1828.3,1811.8
01/12/2022,1827.3,173549,1821.3,1828.2,1814.4
01/11/2022,1818.5,165152,1801.3,1823.1,1799.7
01/10/2022,1798.8,153934,1796.4,1802,1789.3
01/07/2022,1797.4,218941,1791,1798.4,1781.3
01/06/2022,1789.2,233180,1810.6,1811.6,1785.4
01/05/2022,1825.1,167651,1815.2,1830.7,1808.2
01/04/2022,1814.6,162124,1801.1,1817.2,1798.1
01/03/2022,1800.1,163300,1830.1,1833,1798.2
12/31/2021,1828.6,101324,1817,1831.4,1815.4
12/30/2021,1814.1,110142,1805.6,1818.1,1796.2
12/29/2021,1805.8,135650,1806.6,1808,1789.1
12/28/2021,1810.9,97605,1812.1,1821.6,1805.5
12/27/2021,1808.8,80323,1810.2,1814.6,1803.6
12/23/2021,1811.7,101178,1805.6,1812,1799
12/22/2021,1802.2,107201,1789.4,1806.3,1785.8
12/21/2021,1788.7,131120,1791.4,1801.7,1785
12/20/2021,1794.6,104146,1800.2,1804.6,1789
12/17/2021,1804.9,152640,1801.5,1815.7,1796.5
12/16/2021,1798.2,164102,1777.9,1800.7,1775.7
12/15/2021,1764.5,158071,1771.9,1781.3,1753
12/14/2021,1772.3,148182,1787.6,1789.8,1766.1
12/13/2021,1788.3,103999,1784.2,1792.8,1782.2
12/10/2021,1784.8,140032,1776.3,1791,1770.4
12/09/2021,1776.7,121045,1784.3,1788.4,1773.3
12/08/2021,1785.5,106555,1785.1,1794.3,1780.1
12/07/2021,1784.7,124583,1779.5,1789.3,1772.4
12/06/2021,1779.5,99840,1787.7,1789,1776.4
12/03/2021,1783.9,170092,1769.4,1788,1766
12/02/2021,1762.7,164492,1783.8,1785.2,1762.2
12/01/2021,1784.3,172176,1777.4,1795.7,1773.7
11/30/2021,1776.5,234588,1786.9,1811.4,1771.2
11/29/2021,1785.2,145347,1795.2,1801.5,1782
11/26/2021,1788.1,173605,1792.3,1819.3,1781.6
11/24/2021,1786.9,101304,1792.3,1798.8,1780.2
11/23/2021,1786.3,146754,1808.7,1815.2,1784.3
11/22/2021,1809.1,136164,1850.7,1853,1805.3
11/19/2021,1854.3,61307,1863.8,1870.5,1847
11/18/2021,1864,48241,1871.7,1875.9,1859.4
11/17/2021,1872.8,30319,1854.5,1873.1,1853.8
