Date,Close/Last,Volume,Open,High,Low
03/25/2022,35.26,95684,34.49,35.7,34.311
03/24/2022,34.85,173113,35.95,35.95,34.52
03/23/2022,35.73,379528,35.45,35.99,35.4
03/22/2022,34.2454,148136,34.51,34.72,33.75
03/21/2022,34.57,244039,33.54,34.7,33.54
03/18/2022,32.33,117215,32.56,32.5899,32.0041
03/17/2022,31.98,233962,31.51,32.4699,31.46
03/16/2022,29.58,349522,30.64,30.8,29.33
03/15/2022,29.74,1153302,30.08,33.25,29.68
03/14/2022,31.58,501551,31.84,31.89,30.96
03/11/2022,33.1,371641,32.34,33.25,32.17
03/10/2022,31.85,687554,33.43,33.69,31.5
03/09/2022,32.75,1200648,35.02,35.36,30.26
03/08/2022,37.26,1754259,37.44,38.72,35.6235
03/07/2022,35.97,1144749,35,36.365,34.7
03/04/2022,34.4,639609,33.53,34.8099,33.0179
03/03/2022,32.44,434854,32.64,33.2,32.17
03/02/2022,33.04,612958,32.35,33.2378,31.155
03/01/2022,31.19,511506,30.48,31.4987,30.311
02/28/2022,29.08,211791,29.06,29.46,28.8384
02/25/2022,28.24,276698,28.28,28.42,27.671
02/24/2022,28.58,673758,30.35,30.35,28.0375
02/23/2022,28.53,214151,28.38,28.94,28.22
02/22/2022,28.24,340937,28.82,28.87,28.15
02/18/2022,27.95,78941,27.21,27.95,27.02
02/17/2022,27.66,94630,27.32,27.7099,27.275
02/16/2022,27.2,153131,27.96,28.35,27.2
02/15/2022,27.54,144766,27.59,27.68,27.26
02/14/2022,28.56,145902,27.95,28.7321,27.8801
02/11/2022,28.3,116571,27.68,28.5,27.65
02/10/2022,27.53,33162,27.51,27.968,27.3601
02/09/2022,27.55,49982,27.45,27.6748,27.3568
02/08/2022,27.37,57360,27.44,27.4443,27.02
02/07/2022,27.86,38778,27.84,27.96,27.7
02/04/2022,28.03,96890,27.85,28.08,27.7532
02/03/2022,27.35,27488,26.68,27.43,26.67
02/02/2022,26.93,66167,27,27,26.59
02/01/2022,26.88,58587,26.67,26.9048,26.49
01/31/2022,26.89,48550,26.83,26.89,26.49
01/28/2022,26.72,73774,27.01,27.12,26.52
01/27/2022,26.67,50819,27.03,27.03,26.4
01/26/2022,26.56,88540,26.62,26.94,26.52
01/25/2022,26.32,74928,25.86,26.3596,25.68
01/24/2022,25.99,118844,25.9,25.99,25.34
01/21/2022,26.18,76131,26.25,26.38,25.92
01/20/2022,26.16,64844,26.43,26.79,26.16
01/19/2022,26.43,141545,26.49,26.73,26.3805
01/18/2022,26.34,100877,26.13,26.389,26.03
01/14/2022,25.89,260931,25.47,25.94,25.47
01/13/2022,25.18,28203,25.41,25.53,25.14
01/12/2022,25.41,34985,25.2,25.58,25.16
01/11/2022,25.17,56228,24.58,25.1918,24.455
01/10/2022,24.2,19316,24.47,24.47,24.1
01/07/2022,24.42,18114,24.6,24.6,24.35
01/06/2022,24.57,44273,24.7,24.75,24.49
01/05/2022,23.87,69571,24.17,24.38,23.87
01/04/2022,24.01,39044,23.91,24.18,23.8633
01/03/2022,23.6648,14425,23.31,23.72,23.31
12/31/2021,23.48,49903,23.65,23.75,23.32
12/30/2021,23.7,27004,23.81,23.9997,23.7
12/29/2021,23.7,33503,23.45,23.96,23.45
12/28/2021,23.54,93461,23.68,23.76,23.52
12/27/2021,23.55,32396,22.87,23.55,22.815
12/23/2021,22.95,46827,22.611,22.98,22.59
12/22/2021,22.66,14982,22.14,22.66,22.085
12/21/2021,22.25,15754,21.9,22.25,21.8001
12/20/2021,21.45,114167,21.08,21.49,20.62
12/17/2021,21.82,17108,22.02,22.0734,21.74
12/16/2021,22.27,12853,22.23,22.545,22.0755
12/15/2021,22.17,23463,21.72,22.22,21.5807
12/14/2021,21.83,33911,21.88,21.99,21.63
12/13/2021,22.08,26232,22.2,22.39,22.02
12/10/2021,22.42,49358,22.2,22.42,22.06
12/09/2021,21.9,20782,22.36,22.36,21.8956
12/08/2021,22.57,45796,22.3,22.62,22.2301
12/07/2021,22.16,85897,22.23,22.575,22.1082
12/06/2021,21.75,75562,21.14,21.78,21.0254
12/03/2021,20.61,245554,21.43,21.48,20.5
12/02/2021,20.88,127632,20.04,21.07,19.815
12/01/2021,20.25,57781,21.18,21.3282,20.13
11/30/2021,20.56,114805,20.94,21.05,20.0401
11/29/2021,21.59,51079,22.42,22.47,21.4
11/26/2021,21.37,158633,22.5,22.58,21.13
11/24/2021,24.14,18244,24.11,24.25,24.0701
11/23/2021,24.22,19280,23.87,24.29,23.87
11/22/2021,23.49,29877,23.24,23.65,23.24
11/19/2021,23.18,32720,23.64,23.6406,23.1096
11/18/2021,23.95,18693,23.83,24.045,23.67
11/17/2021,23.7,23128,24.07,24.07,23.47
11/16/2021,24.21,16718,24.19,24.3443,24.09
11/15/2021,24.2,77375,23.92,24.22,23.79
11/12/2021,24.1,24205,24.02,24.169,24
11/11/2021,24.26,44637,24.39,24.4799,24.0715
11/10/2021,24.27,23526,24.84,24.9839,24.195
11/09/2021,24.975,162380,24.61,24.975,24.561
11/08/2021,24.65,39605,24.46,24.67,24.42
11/05/2021,24.4,36615,23.93,24.449,23.8
11/04/2021,23.63,35978,24.63,24.71,23.53
11/03/2021,23.8,187654,24.13,24.36,23.75
11/02/2021,24.71,68258,24.69,24.8,24.56
11/01/2021,24.775,34171,24.8,24.88,24.7045
10/29/2021,24.5,18489,24.5,24.625,24.315
10/28/2021,24.67,47453,24.57,24.74,24.305
10/27/2021,24.57,31303,24.91,25.079,24.51
10/26/2021,25.2,31694,25.12,25.3,25.04
10/25/2021,24.95,38886,25.08,25.27,24.95
10/22/2021,24.97,31437,24.98,25.04,24.7
10/21/2021,24.83,63107,24.93,25.01,24.43
10/20/2021,25.15,28341,24.71,25.1599,24.61
10/19/2021,24.89,46150,24.67,25.0583,24.58
10/18/2021,24.62,65242,25,25.13,24.57
10/15/2021,24.78,44917,24.85,24.895,24.71
10/14/2021,24.62,29191,24.64,24.71,24.4187
10/13/2021,24.31,46718,24.11,24.489,24.02
10/12/2021,24.37,50733,24.49,24.55,24.28
10/11/2021,24.49,64792,24.52,24.62,24.366
10/08/2021,24.13,94408,24.24,24.44,23.9
10/07/2021,24.04,45120,23.41,24.04,23.3
10/06/2021,23.44,60007,23.81,23.81,23.38
10/05/2021,24.17,104068,24,24.19,23.98
10/04/2021,23.68,51005,23.41,23.87,23.41
10/01/2021,23.05,64645,22.87,23.15,22.7
09/30/2021,22.86,109663,22.46,23.1,22.3236
09/29/2021,22.74,45280,22.82,22.99,22.69
09/28/2021,22.78,75511,23.22,23.24,22.69
09/27/2021,22.94,41693,22.87,23.04,22.86
09/24/2021,22.48,31092,22.22,22.545,22.211
09/23/2021,22.28,24570,22.03,22.329,22.03
09/22/2021,21.92,34316,21.8,21.94,21.74
09/21/2021,21.46,40000,21.46,21.479,21.1716
09/20/2021,21.44,41358,21.46,21.55,21.28
09/17/2021,21.76,60731,21.781,21.85,21.58
09/16/2021,22,51962,21.97,22.03,21.64
09/15/2021,22,58686,21.83,22.101,21.83
09/14/2021,21.34,28723,21.63,21.63,21.24
09/13/2021,21.41,31589,21.35,21.54,21.3
09/10/2021,21.1,21500,21.17,21.259,21.05
09/09/2021,20.6,28436,20.72,21.1,20.6
09/08/2021,21,23409,21.08,21.08,20.94
09/07/2021,20.71,27219,20.81,20.9499,20.651
09/03/2021,21,12714,21.2301,21.265,21
09/02/2021,21.1939,26036,21.16,21.4,21.16
09/01/2021,20.67,122309,20.49,20.79,20.4351
08/31/2021,20.8075,9202,20.83,20.97,20.7996
08/30/2021,20.9406,17872,20.85,21,20.67
08/27/2021,20.79,22543,20.72,20.9181,20.71
08/26/2021,20.55,58268,20.45,20.639,20.351
08/25/2021,20.6701,15362,20.54,20.7183,20.38
08/24/2021,20.54,141434,20.1,20.56,20.1
08/23/2021,19.8,31306,19.6,19.949,19.581
08/20/2021,18.72,25118,18.89,19.085,18.72
08/19/2021,19.39,84384,19.05,19.419,18.91
08/18/2021,19.56,25572,20.14,20.23,19.52
08/17/2021,20.05,25509,20.1,20.38,20.011
08/16/2021,20.29,31177,19.99,20.44,19.89
08/13/2021,20.44,14825,20.76,20.83,20.44
08/12/2021,20.76,26672,20.8,20.94,20.69
08/11/2021,20.85,9279,20.34,20.93,20.2901
08/10/2021,20.66,19766,20.35,20.725,20.311
08/09/2021,20.1,59130,20.03,20.18,19.8601
08/06/2021,20.62,11388,21.01,21.01,20.48
08/05/2021,20.74,13090,20.37,20.82,20.37
08/04/2021,20.35,36319,20.51,20.8,20.35
08/03/2021,21.02,144988,20.68,21.17,20.67
08/02/2021,21.2001,55612,21.74,21.82,21.02
07/30/2021,21.79,18430,21.76,21.999,21.74
